id;created_at;content;hash_tags
1;2023-12-12T12:48:54;intently quizzical usually;embellished
2;2023-12-13T01:34:51;as acidic silently;rough
3;2023-12-13T04:39:36;yippee willfully;hm meanwhile embellished
4;2023-12-12T15:41:05;whose;where
5;2023-12-12T15:31:31;suspiciously;mellow
6;2023-12-12T19:46:47;routine amid;ah
7;2023-12-13T05:13:30;equal mother-in-law;after
8;2023-12-12T09:24:41;where;who flunk
9;2023-12-12T23:05:14;calm;incident yahoo
10;2023-12-13T04:01:15;rewarding individualize;aha yahoo
