id;name;price;stock;min_order_quantity;base_64_image
1;administration Group;Account Synergized;SAS;tangible Fort Overpass;Officer parsing
2;Pre-emptive Regional Quetzal;best-of-breed PCI;Trail Realigned;Knolls transition Shirt;CSS Personal Cedi
3;wireless bus;Generic;capacitor firewall Bedfordshire;morph Automotive multi-byte;Rand Associate
4;Dominica;redefine alarm;productize;alarm;projection Spurs
5;Comoro;hack Montana Armenia;Account turquoise;Checking Pizza hard;24/365 Forward lime
6;applications hack;Car drive Metal;Books;virtual Steel Account;Table Ergonomic West
7;Ruble;Creative;synthesize;program context-sensitive Dakota;Green
8;Dynamic Optimization Marshall;quantify Central Berkshire;PNG lavender;Liaison Soap;expedite fuchsia
9;index exuding B2B;open-source Tanzanian;Rubber Web;National Pound;interface
10;Texas navigate;innovate Jewelery bluetooth;Mississippi;scale transmit back-end;Hills Rubber
