id;name;price;stock;min_order_quantity;base_64_image
1;Minnesota;Account Fundamental black;e-commerce;copying;Japan Streamlined compress
2;Account Regional;connect;Administrator;Gloves;THX Towels
3;Borders Rubber;didactic Tools Bedfordshire;Fresh override;Automotive;Concrete input
4;integrate Avon Bike;Executive;auxiliary real-time;generate Pants Ergonomic;Upgradable
5;whiteboard;Court Hawaii CSS;e-enable flexibility e-markets;matrix local;Ergonomic
6;invoice;Israel Dynamic Loan;maximize paradigms black;Handmade Frozen;1080p generate payment
7;system-worthy;generation virtual;orchid violet;Accounts Lead;RSS
8;Baby archive;deposit Cotton;Refined empower;users Pound;hard
9;reboot;Garden withdrawal Dynamic;blockchains proactive;Refined Soft;Communications
10;Executive Coordinator Fantastic;Bedfordshire Gloves;program Loan Avon;national Account;Computer Soft
